,Description of Filing (Date Filed),,Filer,
5155,"Verizon Rhode Island - Tariff Filings to Amend RIPUC Nos. 15, 18 &amp; 20 to withdraw services in wire centers where Verizon continues to migrate its network to all fiber and retire its copper network (filed 4/29/21)",4/29/21,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/5155page.html
5154,Petition for Approval to Create Regulatory Assets Related to COVID-19 Impacts (4/30/21),4/30/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5154page.html
5153,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 4/27/21),4/27/21,Mark McQuade,http://www.ripuc.ri.gov/eventsactions/docket/5153-AceMcQuades-RES Application Forms 2021-4-19.pdf
5152,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 4/23/21),4/23/21,Fidelity Investments,http://www.ripuc.ri.gov/eventsactions/docket/5152page.html
5151,Notice of Designation to Render Need Assesment Advisory Opinion Regarding Revolution Wind Project (4/27/21),4/27/21,Energy Facility Siting Board,http://www.ripuc.ri.gov/eventsactions/docket/5151page.html
5150,Consideration of Performance Based Remuneration in Renewalbe Energy Growth (RE Growth) (R.I. GEN. LAWS § 39-26.6-12),,Public Utilities Commission                               :,http://www.ripuc.ri.gov/eventsactions/docket/5150page.html
5149,Petition for Declaratory Judgment (filed 4/23/21),4/23/21,Energy Development Partners,http://www.ripuc.ri.gov/eventsactions/docket/5149page.html
5148,Application for Authority to Operate as Supplier of Telecommunications Service (filed 4/20/21),4/20/21,ICM Corporation,http://www.ripuc.ri.gov/eventsactions/docket/5148page.html
5147,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 4/20/21),4/20/21,St. Francis de Sales Parish,http://www.ripuc.ri.gov/eventsactions/docket/5147page.html
5146,Application for Authority to Operate as Supplier of Telecommunications Service (filed 4/19/21),4/19/21,"Automated Business Machines, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5146page.html
5145,Reconsideration of Interpretation of R.I. Gen. Laws § 39-26.4-2(5)(ii),,Public Utilities Commission (PUC),http://www.ripuc.ri.gov/eventsactions/docket/5145page.html
5144,"Tariff Advice to Amend Gas Tariff, R.I.P.U.C. NG-GAS No. 101-B, Schedule C (4/8/221)",4/8/221,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5144page.html
5143,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 4/23/21),4/23/21,Kearsarge Richmond LLC,http://www.ripuc.ri.gov/eventsactions/docket/5143page.html
5142,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 4/7/21),4/7/21,Hartford Pike Solar II,http://www.ripuc.ri.gov/eventsactions/docket/5142page.html
5141,Annual Reconciliation of the Standard Offer/Last Resort Service Rate and Transmission Charge (filed 3/30/21),3/30/21,Block Island Utility District,http://www.ripuc.ri.gov/eventsactions/docket/5141page.html
5140,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 3/23/21),3/23/21,Ecogy Energy RI XIII LLC,http://www.ripuc.ri.gov/eventsactions/docket/5140page.html
5139,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 3/23/21),3/23/21,Ecogy Energy RI XII LLC,http://www.ripuc.ri.gov/eventsactions/docket/5139page.html
5138,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 3/23/21),3/23/21,Ecogy Energy RI VIII LLC,http://www.ripuc.ri.gov/eventsactions/docket/5138page.html
5137,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 3/23/21),3/23/21,Ecogy Energy RI IX LLC,http://www.ripuc.ri.gov/eventsactions/docket/5137page.html
5136,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 3/23/21),3/23/21,St. Augustine School,http://www.ripuc.ri.gov/eventsactions/docket/5136page.html
5135,Application for Eligibility as a Renewable Energy Resource Generation Unit - 85 Fairmount Case (filed 3/23/21),3/23/21,Obsidial I East Coast Holdings LLC,http://www.ripuc.ri.gov/eventsactions/docket/5135page.html
5134,Application to Change Rates ( 3/19/21),3/19/21,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/5134page.html
5133,Tariff Tariff Advice and Petition for Relief (filed 3/4/21),3/4/21,Kent County Water Authority,http://www.ripuc.ri.gov/eventsactions/docket/5133pge.html
5132,Application for Authority and Statement of Business Operation (filed 3/4/21),3/4/21,"Advanced Corporate Networks, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5132page.html
5131,Application for Eligibility as a Renewable Energy Resource Generation Unit ID 65859 (filed 3/1/21),3/1/21,"Wallingford Renewable Energy, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5131page.html
5130,Application for Eligibility as a Renewable Energy Resource Generation Unit ID 65858 (filed 3/1/21),3/1/21,"Wallingford Renewable Energy, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5130page.html
5129,Application for Eligibility as a Renewable Energy Resource Generation Unit ID 65857 (filed 3/1/21),3/1/21,"Wallingford Renewable Energy, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5129page.html
5128,Petition Under Section 9 of the Narragansett Electric Co. Standards for Connection Distributed Generation Tariff (filed 2/10/21),2/10/21,"Green Development, LLC d/b/a GDIM 1, LLC, GDIM 2, LLC, GDIM 3, LLC and GDIM 4, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5128page.html
5127,2021 Annual Retail Rate Filing (2/9/21),2/9/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5127page.html
5126,Petition for Designation as an Eligible Telecommunications Carrier (2/9/21),2/9/21,"Hughes Network Systems, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5126page.html
5125,Application for registration to provide telecommunications service (2/9/21),2/9/21,"Hughes Network Systems, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5125page.html
5124,"Petition Under Section 10 of The Narragansett Electric Company Renewable Energy Growth Program for Non-Residential Customers, RIPUC No. 2152-F
 ( filed 1/29/21)",1/29/21,"Putnam Pike Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5124page.html
5123,Application for registration to provide telecommunications service (1/19/21),1/19/21,"Combined Public Communications, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5123page.html
5122,Petition for Declaratory Judgment (1/26/21),1/26/21,"Nautilus Solar Energy, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5122page.html
5121,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/25/21),1/25/21,"BD Solar Oxford, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5121page.html
5120,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/25/21),1/25/21,"BD Solar Fairfield, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5120page.html
5119,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/25/21),1/25/21,"BD Solar Augusta, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5119page.html
5118,Application for Eligibility as a Renewable Energy Resource Generation Unit (Milo PV) (1/25/21),1/25/21,"BD Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5118page.html
5117,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/22/21),1/22/21,"University Solar 2, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5117page.html
5116,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/15/21),1/15/21,"Cassadaga Wind, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5116page.html
5115,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/22/21),1/22/21,"Rooftop 344, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5115page.html
5114,Grid Modernization Plan (filed 1/21/21),1/21/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5114page.html
5113,Updated Advanced Metering Functionality Business Case (filed 1/21/21),1/21/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5113page.html
5112,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/15/21),1/15/21,"Future Healthcare Systems NE, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5112page.html
5111,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/13/21),1/13/21,"Tourbillon Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5111page.html
5110,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/13/21),1/13/21,Crandall Rd LLC (Tiverton 2),http://www.ripuc.ri.gov/eventsactions/docket/5110page.html
5109,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/13/21),1/13/21,Crandall Rd LLC (Tiverton 1),http://www.ripuc.ri.gov/eventsactions/docket/5109page.html
5108,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/11/21),1/11/21,Clean Maine Carbon,http://www.ripuc.ri.gov/eventsactions/docket/5108page.html
5107,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/6/21),1/6/21,Vikon Solar,http://www.ripuc.ri.gov/eventsactions/docket/5107page.html
5106,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/6/21),1/6/21,80 Vineyard St. Solar,http://www.ripuc.ri.gov/eventsactions/docket/5106page.html
5105,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/6/21),1/6/21,One Angell Rd. Solar,http://www.ripuc.ri.gov/eventsactions/docket/5105page.html
5104,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/6/21),1/6/21,3100 Diamond Hill Road Solar,http://www.ripuc.ri.gov/eventsactions/docket/5104page.html
5103,Petition for Dispute Resolution (1/8/21),1/8/21,"Dry Bridge Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5103page.html
5102,Application for Eligibility as a Renewable Energy Resource Generation Unit (1/7/21),1/7/21,Kenyon Lane Solar LLC,http://www.ripuc.ri.gov/eventsactions/docket/5102page.html
5101,Petition for Declaratory Judgment (filed 12/17/20),12/17/20,"RIH Orthopaedic Foundation,  Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5101page.html
5100,"Petition Under Section 10 of The Narragansett Electric
 Company Renewable Energy Growth Program for Non-Residential Customers, RIPUC No. 2152-C (filed 12/14/20)",12/14/20,"Seth's Way Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5100page.html
5099,"FY 2022 Gas Infrastructure, Safety and Reliability (ISR) Plan",,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5099page.html
5098,"FY 2022 Electric Infrastructure, Safety and Reliability (ISR) Plan",,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5098page.html
5097,"Tariff filing to implement FCC Order in WC Docket No. 19-308, Modernizing Unbundling and Resale Requirements (filed 12/10/20)",12/10/20,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/5097page.html
5096,2021 Renewable Energy Standard Procurement Plan (filed 12/11/20),12/11/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5096page.html
5095,Renewable Energy Resource Certification Application for Generation Unit (12/8/20),12/8/20,"Nutmeg Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5095page.html
5094,Tariff filing to amend Lifeline Serivce to comply with FCC mandate (12/1/20),12/1/20,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/5094-Verizon-Tariff Filing Lifeline (12-1-20).pdf
5093,Application for registration to provide telecommunications service (11/4/20),11/4/20,Simwood Inc.,http://www.ripuc.ri.gov/eventsactions/docket/5093page.html
5092,Renewable Energy Resource Certification Application for Generation Unit (11/24/20),11/24/20,"Putnam Pke Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5092page.html
5091,Renewable Energy Resource Certification Application for Generation Unit,,"GD Glocester White Oak,I, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5091page.html
5090,Petition for Dispute Resolution (11/19/20),11/19/20,"Exeter Renewables1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5090page.html
5089,Renewable Energy Resource Certification Application for Generation Unit (11/179/20),11/179,Greenbacker Renewable Energy Corp.,http://www.ripuc.ri.gov/eventsactions/docket/5089page.html
5088,2021 Renewable Energy Growth Program (11/13/20),11/13/20,The Narragansett Electric Co. d/b/a National Grid and The RI Distributed Generation Board,http://www.ripuc.ri.gov/eventsactions/docket/5088page.html
5087,Renewable Energy Resource Eligibility Application for Generation Unit,,"Burrillville Solar, LLC (2.430 MW)",http://www.ripuc.ri.gov/eventsactions/docket/5087page.html
5086,Renewable Energy Resource Certification Application for Generation Unit,,"Burrillville Solar, LLC (0.960 MW)",http://www.ripuc.ri.gov/eventsactions/docket/5086page.html
5085,Long-Term Contracting for Renewable Energy Recovery Factor,,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5085page.html
5084,2021 Demand Side Management Program (11/6/20),11/6/20,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/5084page.html
5083,"Standard Offer Service, Transmission Charge and Transition Charge Reconciliation Filing (11/6/20)",11/6/20,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/5083page.html
5082,Tariff filing to withdraw services in wirecenters to migrate its network to all fiber and retire its copper network (10/30/20),10/30/20,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/5082page.html
5081,"Renewable Energy Resource Certification Application for Generation Unit: VCP Branch Ave RI, LLD (filed 11/5/20)",11/5/20,"VCP, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5081page.html
5080,2021 System Reliability Procurement (SRP) Plan and Three-Year SRP Plan 2021-2023 (filed 11/20/20),11/20/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5080page.html
5079,"Tariff Advice Filing to Amend Gas Tariff, entitled Distribution Adjustment Clause, R.I.P.U.C. NG-GAS No. 101, AGT Program Provision (10/30/20)",10/30/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5079page.html
5078,"Renewable Energy Resource Certification Application for Generation Unit: Plainfield Pike Solar 250kW, LLC (filed 10/19/20)",10/19/20,"Plainfield Pike Solar 250kW, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5078page.html
5077,"Tariff Advice to Amend Electric Tariff Entitled Standards for Connecting Distributed Generation, RIPUC No. 2244 (filed 10/20/20)",10/20/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5077page.html
5076,2021‐2023 Energy Efficiency Program Plan (Three-Year Plan) &amp; 2021 Annual Energy Efficiency Program Plan (Annual Plan),,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5076page.html
5075,Renewable Energy Resource Certification Application for Generation Unit: North Kingstown Warehouse LLC (filed 10/9/20),10/9/20,North Kingstown Warehouse LLC,http://www.ripuc.ri.gov/eventsactions/docket/5075page.html
5074,Tariff filing to amend Residential Monthly Rate (filed 10/2/20),10/2/20,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/5074page.html
5073,Petition for Implementation of Purchase of Receivables Program,,Retail Energy Supply Association (RESA),http://www.ripuc.ri.gov/eventsactions/docket/5073page.html
5072,Renewable Energy Resource Certification Application for Generation Unit: Three M Woonsocket Case (filed 9/21/20),9/21/20,Janus Solar Fund II LLC,http://www.ripuc.ri.gov/eventsactions/docket/5072page.html
5071,Renewable Energy Resource Certification Application for Generation Unit: Hopkinton Industrial Park #2 (9/2//20),9/2//20,Lydia Teixeira,http://www.ripuc.ri.gov/eventsactions/docket/5071page.html
5070,"Renewable Energy Resource Certification Application for Generation Unit: Faith Realty II, LLC (9/2//20)",9/2//20,"Faith Realty II, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5070page.html
5069,Renewable Energy Resource Certification Application for Generation Unit: Echo Valley Solar (9/2//20),9/2//20,Echo Preservation LP,http://www.ripuc.ri.gov/eventsactions/docket/5069page.html
5068,"Renewable Energy Resource Certification Application for Generation Unit: Sanford Airport Solar, LLC (9/2//20)",9/2//20,"Sanford Airport Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5068page.html
5067,2020 Gas Customer Choice Program (filed 9/1/20),9/1/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5067page.html
5066,2020 Gas Cost Recovery Filing (filed 9/1/20),9/1/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5066page.html
5065,Renewable Energy Resource Certification Application for Generation Unit: Bald hill Solar (8/24/20),8/24/20,"Bald Hill Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5065page.html
5064,Renewable Energy Resource Certification Application for Generation Unit: Mendon Road Solar (filed 8/21/20),8/21/20,"Mendon Road Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5064page.html
5063,Renewable Energy Resource Certification Application for Generation Unit: Douglas Pike Soalr (8/21/20),8/21/20,"Douglas Pike Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5063page.html
5062,"Request for Approval of 
 Community Electricity Aggregation Plan in accordance with RIGL § 39-3-1.2 (8/21/20)",8/21/20,Town of South Kingstown,http://www.ripuc.ri.gov/eventsactions/docket/5062page.html
5061,"Request for Approval of 
 Community Electricity Aggregation Plan in accordance with RIGL § 39-3-1.2 (8/21/20)",8/21/20,City of Providence,http://www.ripuc.ri.gov/eventsactions/docket/5061page.html
5060,Petition for Declaratory Judgment (filed 8/13/20),8/13/20,"Hexagon Energy, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5060page.html
5059,Application to change existing Terms and Conditions for Nonregulated Power Producer (filed 8/11/20),8/11/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5059page.html
5058,Applicaton to add Terms and Conditions for Municipal Aggregators (R.I.P.U.C. No. 2222) (filed 8/11/20),8/11/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5058page.html
5057,Renewable Energy Resource Certification Application for Generation Unit: Singleton Solar,,"TES Singleton Solar 23, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5057page.html
5056,Renewable Energy Resource Certification Application for Generation: Church St. Solar Project (filed 8/12/20),8/12/20,"Inman Solar, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5056page.html
5055,Renewable Energy Resource Certification Application for Generation: BIUD - BIUD Solar Aggregation (filed 7/27/20),7/27/20,Block Island Utility District,http://www.ripuc.ri.gov/eventsactions/docket/5055page.html
5054,Electric Pension Adjustment Factor Filing (filed 8/3/20),8/3/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5054page.html
5053,Renewable Energy Resource Certification Application for Generation: Kearsarge East Providence (filed 7/27/20),7/27/20,Kearsarge East Providence LLC,http://www.ripuc.ri.gov/eventsactions/docket/5053page.html
5052,Renewable Energy Resource Certification Application for Generation: Kearsarge Fogland (filed 7/27/20),7/27/20,Kearsarge Fogland LLC,http://www.ripuc.ri.gov/eventsactions/docket/5052page.html
5051,Renewable Energy Resource Certification Application for Generation: Kearsarge Westerly (filed 7/27/20),7/27/20,Kearsarge Westerly LLC,http://www.ripuc.ri.gov/eventsactions/docket/5051page.html
5050,Renewable Energy Resource Certification Application for Generation: GD Hopkinton Main I (Array #3) (filed 7/22/20),7/22/20,"GD Hopkinton Main I, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5050page.html
5049,Renewable Energy Resource Certification Application for Generation: GD Hopkinton Main I (Array #2),,"GD Hopkinton Main I, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5049page.html
5048,Renewable Energy Resource Certification Application for Generation: GD Hopkinton Main I (Array #1),,"GD Hopkinton Main I, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5048page.html
5047,"Request for Approval of 
 Community Electricity Aggregation Plan in accordance with RIGL § 39-3-1.2 (7/24/20)",7/24/20,Town of Barrington,http://www.ripuc.ri.gov/eventsactions/docket/5047page.html
5046,"Renewable Energy Resource Certification Application for Generation: ABC Development, LLC (filed 7/20/20)",7/20/20,"ABC Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5046page.html
5045,Renewable Energy Resource Certification Application for Generation: Trawl Works DG (filed 7/14/20),7/14/20,"Trawl Works, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5045page.html
5044,Renewable Energy Resource Certification Application for Generation: Central Falls Hydroelectric Project (filed 7/14/20),7/14/20,"Blackstone Hydro Associates, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5044page.html
5043,Gas Long-Range Resource and Requirements Plan for the Forecast Period 2020/21 to 2024/25 (filed 6/30/20),6/30/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5043page.html
5042,"Request for Approval of 
 Community Electricity Aggregation Plan in accordance with RIGL § 39-3-1.2 (7/3/20)",7/3/20,City of Central Falls,http://www.ripuc.ri.gov/eventsactions/docket/5042page.html
5041,Petition to Revise 2017 and 2018 Renewable Energy Standard Compliance Filings (7/2/20),7/2/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5041page.html
5040,2020 Distribution Adjustment Charge Filing (7/1/20),7/1/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5040page.html
5039,2020 Renewable Energy (RE) Growth Program Factor Filing (filed 6/30/20),6/30/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5039page.html
5038,Renewable Energy Resource Certification Application for Generation: Ecogy 30 Cutler Street Windsor Rooftop Solar Project (6/16/20),6/16/20,"Ecogy Energy RI X, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5038page.html
5037,Renewable Energy Resource Certification Application for Generation:  Ecogy 575 Lonsdale Ave HB Packaging Rooftop Solar Project (6/16/20),6/16/20,"Ecogy Energy RI X, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5037page.html
5036,Renewable Energy Resource Certification Application for Generation: Ecogy 99 Hartford Ave Contech Medical Rooftop Solar Project (6/16/20),6/16/20,"Ecogy  RI, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5036page.html
5035,Application for registration as a provider of telecommunications service (filed 6/8/20),6/8/20,"Ooma, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5035page.html
5034,Fast Ferry Rate Filing (filed 5/27/20),5/27/20,Interstate Navigation d/b/a Block Island Ferry,http://www.ripuc.ri.gov/eventsactions/docket/5034page.html
5033,Petition for Designation as an Eligible Telecommunications Carrier for purpose of providing Lifeline service to qualifying Rhode Island consumers (filed 5/15/20),5/15/20,"TruConnect Communications, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5033page.html
5032,Application for registration as a provider of telecommunications service (filed 5/15/20),5/15/20,"TruConnect Communicatons, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5032page.html
5031,Residential Assistance Recovery Filing (filed (filed 5/15/20),5/15/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5031page.html
5030,"Electric Revenue Decoupling Mechanism (RDM) Reconciliatoin Filing for Year Ending March 31, 2020 (filed 5/15/20)",5/15/20,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5030page.html
5029,Petition for Waiver of Output deadline under RIPUC No. 2152-E (filed 5/4/20),5/4/20,South CountySolar 805 Main LLC,http://www.ripuc.ri.gov/eventsactions/docket/5029page.html
5028,"Renewable Energy Resource Eligibility Application for Southern Sky Renewable Energy RI - Alton Rd.
 Hopkinton, LLC(filed 5/11/20)",5/11/20,Ralph Palumbo,http://www.ripuc.ri.gov/eventsactions/docket/5028page.html
5027,Renewable Energy Resource Eligibility Application for NuGen Solar LLC Generation Unit (filed 4/29/20),4/29/20,"NuGen Capital Management, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5027page.html
5026,Utility Financial Reporting Requirements Related to COVID-19 Pandemic (4/24/20),4/24/20,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/5026page.html
5025,Application for registration to transact as provider of telecommunications service (filed 4/3/20),4/3/20,"Lunar Labs, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/5025page.html
5024,Request to Temporarily Waive Credit Card Fee (4/3/20),4/3/20,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/5024page.html
5023,Proposed Three-Year Savings Targets for The Narragansett Electric Co. d/b/a National Grid's2021-2023 Energy Efficiency Procurement Plan (Three-Year Plan) (3/23/20),3/23/20,Rhode Island Energy Efficiency and Resource Management Council (EERMC),http://www.ripuc.ri.gov/eventsactions/docket/5023page.html
5022,Suspension of Service Terminations and Certain Collections Activities During the COVID-19 Emergency (3/17/20),3/17/20,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/5022page.html
5021,Renewable Energy Resource Eligibility Application for Battle Creek 1 Solar Generation Unit (filed 3/11/20),3/11/20,Battle Creek Solar  LLC,http://www.ripuc.ri.gov/eventsactions/docket/5021page.html
5020,Application for registration to transact as provider of telecommunications service (filed 3/4/20),3/4/20,"White Level Communicatons, LLC",http://www.ripuc.ri.gov/eventsactions/docket/5020page.html
5019,Renewable Energy Resource Eligibility Application for Wallingford Solar LLC Generation Unit (filed 3/2/20),3/2/20,Wallingford Solar LLC,http://www.ripuc.ri.gov/eventsactions/docket/5019page.html
5018,Renewable Energy Resource Eligibility Application for 59 Tom Harvey Rd. LLC Generation Unit (filed 2/28/20),2/28/20,Solect Energy Development LLC,http://www.ripuc.ri.gov/eventsactions/docket/5018page.html
5017,Renewable Energy Resource Eligibility Application for National Velour Corp. Generation Unit (filed 2/27/20),2/27/20,Solect Energy Development LLC,http://www.ripuc.ri.gov/eventsactions/docket/5017page.html
